ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Bertie County, NC",23.0,17932,Bertie County,North Carolina,NC,2731.0
"Bethel Census Area, AK",18.4,18049,Bethel Census Area,Alaska,AK,55.0
"Bexar County, TX",1688.1999999999905,1970011,Bexar County,Texas,TX,17706.0
"Bibb County, AL",23.0,20396,Bibb County,Alabama,AL,3770.0
"Bibb County, GA",206.99999999999983,148314,Bibb County,Georgia,GA,6746.0
"Bienville Parish, LA",27.6,13264,Bienville Parish,Louisiana,LA,5194.0
"Big Horn County, MT",27.6,13297,Big Horn County,Montana,MT,252.0
"Big Horn County, WY",18.4,11829,Big Horn County,Wyoming,WY,59.0
"Big Stone County, MN",18.4,4989,Big Stone County,Minnesota,MN,2289.0
"Billings County, ND",9.2,919,Billings County,North Dakota,ND,375.0
"Bingham County, ID",41.400000000000006,46114,Bingham County,Idaho,ID,571.0
"Black Hawk County, IA",179.39999999999986,128836,Black Hawk County,Iowa,IA,1638.0
"Blackford County, IN",23.0,11838,Blackford County,Indiana,IN,4116.0
"Bladen County, NC",32.2,33129,Bladen County,North Carolina,NC,2731.0
"Blaine County, ID",23.0,22601,Blaine County,Idaho,ID,571.0
"Blaine County, MT",23.0,6797,Blaine County,Montana,MT,252.0
"Blaine County, NE",9.2,476,Blaine County,Nebraska,NE,636.0
"Blaine County, OK",27.6,9485,Blaine County,Oklahoma,OK,1418.0
"Blair County, PA",160.9999999999999,121289,Blair County,Pennsylvania,PA,8865.0
"Blanco County, TX",13.799999999999999,11700,Blanco County,Texas,TX,17706.0
"Bland County, VA",13.799999999999999,5662,Bland County,Virginia,VA,3466.0
"Bleckley County, GA",18.4,11658,Bleckley County,Georgia,GA,6746.0
"Bledsoe County, TN",18.4,12179,Bledsoe County,Tennessee,TN,2959.0
"Blount County, AL",46.00000000000001,57711,Blount County,Alabama,AL,3770.0
"Blount County, TN",133.39999999999992,130140,Blount County,Tennessee,TN,2959.0
"Blue Earth County, MN",78.19999999999999,64606,Blue Earth County,Minnesota,MN,2289.0
"Boise County, ID",9.2,7600,Boise County,Idaho,ID,571.0
"Bolivar County, MS",41.400000000000006,30010,Bolivar County,Mississippi,MS,3124.0
"Bollinger County, MO",18.4,12160,Bollinger County,Missouri,MO,2814.0
"Bon Homme County, SD",13.799999999999999,5714,Bon Homme County,South Dakota,SD,376.0
"Bond County, IL",23.0,15191,Bond County,Illinois,IL,8459.0
"Bonner County, ID",46.00000000000001,44625,Bonner County,Idaho,ID,571.0
"Bonneville County, ID",101.19999999999996,116497,Bonneville County,Idaho,ID,571.0
"Boone County, AR",36.800000000000004,37376,Boone County,Arkansas,AR,1622.0
"Boone County, IA",36.800000000000004,26110,Boone County,Iowa,IA,1638.0
"Boone County, IL",36.800000000000004,53506,Boone County,Illinois,IL,8459.0
"Boone County, IN",50.60000000000001,66822,Boone County,Indiana,IN,4116.0
"Boone County, KY",105.79999999999995,131091,Boone County,Kentucky,KY,1492.0
"Boone County, MO",137.99999999999991,172200,Boone County,Missouri,MO,2814.0
"Boone County, NE",13.799999999999999,5237,Boone County,Nebraska,NE,636.0
"Boone County, WV",41.400000000000006,21913,Boone County,West Virginia,WV,352.0
"Borden County, TX",9.2,648,Borden County,Texas,TX,17706.0
"Bosque County, TX",36.800000000000004,18660,Bosque County,Texas,TX,17706.0
"Bossier Parish, LA",105.79999999999995,126814,Bossier Parish,Louisiana,LA,5194.0
"Botetourt County, VA",41.400000000000006,33121,Botetourt County,Virginia,VA,3466.0
"Bottineau County, ND",18.4,6245,Bottineau County,North Dakota,ND,375.0
"Boulder County, CO",317.4000000000001,316334,Boulder County,Colorado,CO,2094.0
"Boundary County, ID",13.799999999999999,11928,Boundary County,Idaho,ID,571.0
"Bourbon County, KS",27.6,14435,Bourbon County,Kansas,KS,962.0
"Bourbon County, KY",32.2,20055,Bourbon County,Kentucky,KY,1492.0
"Bowie County, TX",87.39999999999998,88981,Bowie County,Texas,TX,17706.0
"Bowman County, ND",13.799999999999999,3076,Bowman County,North Dakota,ND,375.0
"Box Butte County, NE",18.4,10761,Box Butte County,Nebraska,NE,636.0
"Box Elder County, UT",55.20000000000001,54759,Box Elder County,Utah,UT,582.0
"Boyd County, KY",64.4,45607,Boyd County,Kentucky,KY,1492.0
"Boyd County, NE",9.2,1955,Boyd County,Nebraska,NE,636.0
"Boyle County, KY",36.800000000000004,27337,Boyle County,Kentucky,KY,1492.0
"Bracken County, KY",18.4,8239,Bracken County,Kentucky,KY,1492.0
"Bradford County, FL",23.0,24075,Bradford County,Florida,FL,16059.0
"Bradford County, PA",69.0,60660,Bradford County,Pennsylvania,PA,8865.0
